2026-05-28 10:24:37 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:24:42 | INFO     | patient_controller.handle_double_click | Người dùng double-click vào vùng cột ID để yêu cầu sắp xếp.
2026-05-28 10:24:42 | INFO     | patient_model.sort_by_name | Đã sắp xếp lại danh sách bệnh nhân theo Tên (Chiều: Z-A)
2026-05-28 10:24:42 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:24:43 | INFO     | patient_controller.handle_double_click | Người dùng double-click vào vùng cột ID để yêu cầu sắp xếp.
2026-05-28 10:24:43 | INFO     | patient_model.sort_by_name | Đã sắp xếp lại danh sách bệnh nhân theo Tên (Chiều: A-Z)
2026-05-28 10:24:43 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:24:44 | INFO     | patient_controller.handle_double_click | Người dùng double-click vào vùng cột ID để yêu cầu sắp xếp.
2026-05-28 10:24:44 | INFO     | patient_model.sort_by_name | Đã sắp xếp lại danh sách bệnh nhân theo Tên (Chiều: Z-A)
2026-05-28 10:24:44 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:24:57 | INFO     | patient_controller.handle_double_click | Người dùng double-click vào vùng cột ID để yêu cầu sắp xếp.
2026-05-28 10:24:57 | INFO     | patient_model.sort_by_name | Đã sắp xếp lại danh sách bệnh nhân theo Tên (Chiều: A-Z)
2026-05-28 10:24:57 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:25:03 | INFO     | patient_controller.handle_double_click | Người dùng double-click vào vùng cột ID để yêu cầu sắp xếp.
2026-05-28 10:25:03 | INFO     | patient_model.sort_by_name | Đã sắp xếp lại danh sách bệnh nhân theo Tên (Chiều: Z-A)
2026-05-28 10:25:03 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:25:03 | INFO     | patient_controller.handle_double_click | Người dùng double-click vào vùng cột ID để yêu cầu sắp xếp.
2026-05-28 10:25:03 | INFO     | patient_model.sort_by_name | Đã sắp xếp lại danh sách bệnh nhân theo Tên (Chiều: A-Z)
2026-05-28 10:25:03 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:25:12 | INFO     | patient_controller.handle_double_click | Người dùng double-click vào vùng cột ID để yêu cầu sắp xếp.
2026-05-28 10:25:12 | INFO     | patient_model.sort_by_name | Đã sắp xếp lại danh sách bệnh nhân theo Tên (Chiều: Z-A)
2026-05-28 10:25:12 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:25:13 | INFO     | patient_controller.handle_double_click | Người dùng double-click vào vùng cột ID để yêu cầu sắp xếp.
2026-05-28 10:25:13 | INFO     | patient_model.sort_by_name | Đã sắp xếp lại danh sách bệnh nhân theo Tên (Chiều: A-Z)
2026-05-28 10:25:13 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:25:15 | INFO     | patient_controller.handle_double_click | Người dùng double-click vào vùng cột ID để yêu cầu sắp xếp.
2026-05-28 10:25:15 | INFO     | patient_model.sort_by_name | Đã sắp xếp lại danh sách bệnh nhân theo Tên (Chiều: Z-A)
2026-05-28 10:25:15 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:25:18 | DEBUG    | patient_controller.show_detail_panel | Người dùng click xem hồ sơ chi tiết của bệnh nhân: nan
2026-05-28 10:25:21 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:25:21 | WARNING  | patient_controller.delete | Đã xóa vĩnh viễn hồ sơ bệnh nhân khỏi hệ thống: nan
2026-05-28 10:25:23 | INFO     | patient_controller.handle_double_click | Người dùng double-click vào vùng cột ID để yêu cầu sắp xếp.
2026-05-28 10:25:23 | INFO     | patient_model.sort_by_name | Đã sắp xếp lại danh sách bệnh nhân theo Tên (Chiều: A-Z)
2026-05-28 10:25:23 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:25:24 | INFO     | patient_controller.handle_double_click | Người dùng double-click vào vùng cột ID để yêu cầu sắp xếp.
2026-05-28 10:25:24 | INFO     | patient_model.sort_by_name | Đã sắp xếp lại danh sách bệnh nhân theo Tên (Chiều: Z-A)
2026-05-28 10:25:24 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:25:25 | INFO     | patient_controller.handle_double_click | Người dùng double-click vào vùng cột ID để yêu cầu sắp xếp.
2026-05-28 10:25:25 | INFO     | patient_model.sort_by_name | Đã sắp xếp lại danh sách bệnh nhân theo Tên (Chiều: A-Z)
2026-05-28 10:25:25 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:25:28 | DEBUG    | patient_controller.show_detail_panel | Người dùng click xem hồ sơ chi tiết của bệnh nhân: 44
2026-05-28 10:25:29 | INFO     | patient_controller.open_edit_dialog | Mở form chỉnh sửa thông tin của bệnh nhân: 44
2026-05-28 10:25:34 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:25:34 | INFO     | patient_controller.save_action | Đã cập nhật thay đổi thành công hồ sơ bệnh nhân ID gốc: 0
2026-05-28 10:25:36 | DEBUG    | patient_controller.show_detail_panel | Người dùng click xem hồ sơ chi tiết của bệnh nhân: 77
2026-05-28 10:25:37 | INFO     | patient_controller.open_edit_dialog | Mở form chỉnh sửa thông tin của bệnh nhân: 77
2026-05-28 10:25:47 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:25:47 | INFO     | patient_controller.save_action | Đã cập nhật thay đổi thành công hồ sơ bệnh nhân ID gốc: 1
2026-05-28 10:25:52 | DEBUG    | patient_controller.show_detail_panel | Người dùng click xem hồ sơ chi tiết của bệnh nhân: ga
2026-05-28 10:25:53 | INFO     | patient_controller.open_edit_dialog | Mở form chỉnh sửa thông tin của bệnh nhân: ga
2026-05-28 10:26:00 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:26:00 | INFO     | patient_controller.save_action | Đã cập nhật thay đổi thành công hồ sơ bệnh nhân ID gốc: 3
2026-05-28 10:26:02 | DEBUG    | patient_controller.show_detail_panel | Người dùng click xem hồ sơ chi tiết của bệnh nhân: gg
2026-05-28 10:26:03 | INFO     | patient_controller.open_edit_dialog | Mở form chỉnh sửa thông tin của bệnh nhân: gg
2026-05-28 10:26:12 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:26:12 | INFO     | patient_controller.save_action | Đã cập nhật thay đổi thành công hồ sơ bệnh nhân ID gốc: 4
2026-05-28 10:26:14 | DEBUG    | patient_controller.show_detail_panel | Người dùng click xem hồ sơ chi tiết của bệnh nhân: hh
2026-05-28 10:26:15 | INFO     | patient_controller.open_edit_dialog | Mở form chỉnh sửa thông tin của bệnh nhân: hh
2026-05-28 10:26:20 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:26:20 | INFO     | patient_controller.save_action | Đã cập nhật thay đổi thành công hồ sơ bệnh nhân ID gốc: 5
2026-05-28 10:26:23 | DEBUG    | patient_controller.show_detail_panel | Người dùng click xem hồ sơ chi tiết của bệnh nhân: hhh
2026-05-28 10:26:23 | INFO     | patient_controller.open_edit_dialog | Mở form chỉnh sửa thông tin của bệnh nhân: hhh
2026-05-28 10:26:29 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:26:29 | INFO     | patient_controller.save_action | Đã cập nhật thay đổi thành công hồ sơ bệnh nhân ID gốc: 6
2026-05-28 10:26:31 | DEBUG    | patient_controller.show_detail_panel | Người dùng click xem hồ sơ chi tiết của bệnh nhân: hyu
2026-05-28 10:26:32 | INFO     | patient_controller.open_edit_dialog | Mở form chỉnh sửa thông tin của bệnh nhân: hyu
2026-05-28 10:26:36 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:26:36 | INFO     | patient_controller.save_action | Đã cập nhật thay đổi thành công hồ sơ bệnh nhân ID gốc: 7
2026-05-28 10:26:42 | INFO     | patient_controller.handle_double_click | Người dùng double-click vào vùng cột ID để yêu cầu sắp xếp.
2026-05-28 10:26:42 | INFO     | patient_model.sort_by_name | Đã sắp xếp lại danh sách bệnh nhân theo Tên (Chiều: Z-A)
2026-05-28 10:26:42 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:26:44 | INFO     | patient_controller.handle_double_click | Người dùng double-click vào vùng cột ID để yêu cầu sắp xếp.
2026-05-28 10:26:44 | INFO     | patient_model.sort_by_name | Đã sắp xếp lại danh sách bệnh nhân theo Tên (Chiều: A-Z)
2026-05-28 10:26:44 | DEBUG    | patient_model.save | Đã lưu đồng bộ dữ liệu RAM xuống file CSV cứng.
2026-05-28 10:26:45 | INFO     | patient_controller.handle_double_click | Người dùng double-click vào vùng cột ID để yêu cầu sắp xếp.
